Day,Month,IncidentYear,VictimInjury,State,Location,latitude,longitude,SharkType,SharkLength(m),Provoked,SharkCount,VictimActivity,InjuryLocation,InjurySeverity,VictimGender,VictimAge
24,3,2015,Injured,NSW,"lord howe island, ned's beach",-31.51666667,159.05,galapagos shark,1.3,Provoked,1,swimming,leg,minor lacerations,Female,43
9,4,2015,Injured,NSW,"lord howe island, ned's beach",-31.51666667,159.05,galapagos shark,1.5,Provoked,1,swimming,leg,minor lacerations,Male,8
11,4,2015,Injured,NSW,"mackenzies beach, bateman's bay",-35.8,150.2166667,wobbegong,,Provoked,1,boarding,foot,minor lacerations,Male,
25,4,2015,Injured,SA,fishery bay nr port lincoln,-34.86666667,135.7666667,white shark,6,Unprovoked,1,boarding,leg,major lacerations,Male,26
3,5,2015,Injured,NSW,"saltwater point, nr taree",-32.01666667,152.5333333,white shark,,Unprovoked,1,boarding,"arm, hand",major lacerations,Male,46
24,6,2015,Injured,WA,"ocean beach, demark",-35.01666667,117.3333333,white shark,,Unprovoked,1,boarding,"head, hand",surface wound,Female,37
26,6,2015,Injured,WA,"rottnest island, natural jetty",-31.98333333,115.5333333,wobbegong,1,Provoked,1,swimming,arm,minor lacerations,Male,19
24,6,2015,Uninjured,NSW,"byron bay, belongi beach",-28.63333333,153.6,white shark,3,Unprovoked,1,boarding,other: uninjured,,Male,71
1,6,2015,Injured,NSW,"mill point, south durras",-35.65,150.2833333,tiger shark,3,Provoked,1,spearfishing,foot,minor lacerations,Male,21
21,7,2015,Uninjured,QLD,burleigh heads,-28.1,153.465,white shark,2,Unprovoked,1,boarding,other: uninjured,,Male,
25,7,2015,Fatal,TAS,maria island,-42.63333333,147.9833333,white shark,4.3,Provoked,1,diving,"torso, pelvic region",major lacerations,Male,47
24,7,2015,Uninjured,TAS,maria island,-42.63333333,147.9833333,white shark,4.3,Provoked,1,diving,other: uninjured,,Male,
31,7,2015,Injured,NSW,"evans head, main beach",-29.1,153.4333333,white shark,3,Unprovoked,1,boarding,"leg, hand",major lacerations,Male,51
3,7,2015,Uninjured,NSW,lennox head,-28.78333333,153.5833333,white shark,,Unprovoked,1,boarding,other: uninjured,,Male,51
1,7,2015,Injured,NSW,"yamba, flat rock, pippi beach",-29.43333333,153.3666667,white shark,,Unprovoked,1,boarding,"arm, hand",major lacerations,Male,
23,7,2015,Injured,VIC,tyrendarra beach,-38.25,141.7833333,white shark,1.8,Unprovoked,1,boarding,"arm, hand",minor lacerations,Male,40
2,7,2015,Injured,NSW,"ballina, lighthouse beach",-28.86666667,153.5833333,white shark,3.5,Unprovoked,1,boarding,leg,major lacerations,Male,32
